ConstellationShortName,AlphanumericName,ApparentMagnitude,Bayer 編號,ConsID,Declination,Flamsteed,HipparcosNumber,Name,RightAscension,ith,星點,英文星名
CMa,Gamma,4.110000134,γ CMa,14,-15.6333,23 CMa,34045,γ,105.9396,14,天狼增四,
Ind,Kappa2,5.619999886,,44,-59.6359,,109081,κ2,331.4625,12,,
Tel,Nu,5.329999924,,79,-56.3623,,97421,ν,297.0045,12,,
Tau,Kappa2,5.269999981,κ2 Tau,78,22.2001,67 Tau,20641,κ2,66.354,28,天街一,
Ari,Lambda,4.789999962,λ Ari,7,23.5961,9 Ari,9153,λ,29.48235,6,婁宿增五,
Leo,nil,3.329999924,θ Leo,46,15.4298,70 Leo,54879,Chort,168.5595,6,四 西次相,Chertan
Gem,nil,1.580000043,α Gem,38,31.8886,66 Gem,36850,Castor,113.65005,2,北河二,Castor
Hya,Eta,4.300000191,η Hya,42,3.39867,7 Hya,42799,η,130.80615,15,柳宿三,
Oct,Mu1,5.989999771,,58,-76.1806,,102162,μ1,310.5105,25,,
Leo,nil,3.430000067,ζ Leo,46,23.4173,36 Leo,50335,Adhafera,154.173,7,軒轅十一,Adhafera
Cen,Phi,3.829999924,? Cen,19,-42.1007,,68245,?,209.568,15,衡三,
Ind,Zeta,4.900000095,,44,-46.2269,,102790,ζ,312.3705,7,,
Sex,Alpha,4.480000019,,77,-0.371628,,49641,α,151.9845,1,,
Mus,Zeta2,5.150000095,,56,-67.5221,,60320,ζ2,185.5305,10,,
Leo,Upsilon,4.300000191,υ Leo,46,-0.823854,91 Leo,56647,υ,174.237,14,明堂二,
Nor,Gamma1,4.96999979,,57,-50.0681,,79790,γ1,244.254,8,,
Crt,Eta,5.170000076,η Crt,29,-17.1508,30 Crt,58188,η,179.004,9,翼宿六,
Tuc,Iota,5.360000134,,82,-61.7753,,5268,ι,16.82745,12,,
Aqr,nil,2.950000048,α Aqr,4,-0.319827,34 Aqr,109074,Sadalmelik,331.446,2,危宿一,Sadalmelik
Psc,Chi,4.659999847,χ Psc,66,21.0347,84 Psc,5571,χ,17.86335,15,奎宿十五,
Sex,Gamma,5.070000172,γ Sex,77,-8.10492,8 Sex,48437,γ,148.12695,2,星宿增十二,
Sgr,nil,3.960000038,α Sgr,72,-40.6156,,95347,Rukbat,290.9715,16,天淵三,Rukbat
Leo,nil,1.360000014,α Leo,46,11.9672,32 Leo,49669,Regulus,152.094,1,軒轅十四,Regulus
Vel,Mu,2.690000057,μ Vel,85,-49.4201,,52727,μ,161.6925,5,海山增二,
Cha,Epsilon,4.880000114,ε Cha,22,-78.2218,,58484,?,179.907,6,小斗二,
Vir,Zeta,3.380000114,ζ Vir,86,-0.595938,79 Vir,66249,ζ,203.6745,4,角宿二,
Leo,Phi,4.449999809,? Leo,46,-3.65151,74 Leo,55084,?,169.1655,16,明堂增六,
Ari,Nu,5.449999809,ν Ari,7,21.9614,32 Ari,12332,ν,39.7041,14,左更一,
Tuc,Beta2,4.53000021,,82,-62.9654,,2487,β2,7.88898,8,,
Scl,Xi,5.590000153,,74,-38.9166,,4770,ξ,15.32595,15,,
CrB,Eta1,4.989999771,η CrB,27,30.2882,2 CrB,75312,η1,230.8005,12,貫索增三,
Oct,Zeta,5.429999828,,58,-85.6632,,43908,ζ,134.17455,12,,
Cap,Tau,5.239999771,τ2 Cap,16,-14.9547,14 Cap,101923,τ,309.8175,20,羅堰一,
Pup,Pi,2.710000038,π PuP,68,-37.0975,,35264,π,109.28565,2,弧矢九,
Psc,ZetaA,5.210000038,ζA Psc,66,7.57549,86A Psc,5737,ζA,18.43245,20,外屏三,
Hor,Beta,4.980000019,,41,-64.0713,,13884,β,44.6991,3,,
Eri,Upsilon1,4.489999771,υ1 Eri,36,-29.7658,50 Eri,21248,υ1,68.37765,26,天園十三,
Nor,Epsilon,4.460000038,,57,-47.5547,,80582,?,246.7965,2,,
Lyr,Theta,4.349999905,θ Lyr,52,38.1337,21 Lyr,94713,θ,289.092,7,輦道三,
Del,Theta,5.690000057,θ Del,32,13.3151,8 Del,101882,θ,309.684,11,敗瓜三,
Hyi,Lambda,5.090000153,,43,-74.9234,,3781,λ,12.146325,9,,
Cyg,Delta,2.859999895,δ Cyg,31,45.1307,18 Cyg,97165,δ,296.244,4,天津二,
Pic,Alpha,3.24000001,α Pic,65,-61.942,,32607,α,102.048,1,金魚增一,
Lep,Mu,3.289999962,μ Lep,48,-16.2054,5 Lep,24305,μ,78.2328,4,屏一,
Dra,Pi,4.599999905,π Dra,34,65.7144,58 Dra,95081,π,290.1675,18,天廚六,
Sgr,Phi,3.170000076,? Sgr,72,-26.9908,27 Sgr,92041,?,281.4135,9,斗宿一,
Dra,nil,3.730000019,ξ Dra,34,56.8725,32 Dra,87585,Grumium,268.3815,9,天棓一,Grumium
Her,nil,4.570000172,ω Her,40,14.0334,24 Her,80463,Cujam,246.354,20,斗一,Cujam
Tri,nil,3.420000076,α Tri,80,29.5794,2 Tri,8796,Mothallah,28.27035,2,婁宿增六,
Com,Beta,4.230000019,β Com,25,27.876,43 Com,64394,β,197.97,1,周鼎一,
Lib,Lambda,5.039999962,λ Lib,49,-20.167,45 Lib,77811,λ,238.3335,12,房宿增一,
Aqr,Sigma,4.820000172,σ Aqr,4,-10.6779,57 Aqr,111123,σ,337.662,21,壘壁陣六,
Aql,Psi,6.25,ψ Aql,5,13.3028,48 Aql,97139,ψ,296.142,25,河鼓增一,
Vir,Rho,4.880000114,ρ Vir,86,10.2358,30 Vir,61960,ρ,190.4715,23,九卿一,
Cas,nil,3.460000038,η Cas,18,57.8165,24 Cas,3821,Achird,12.27126,6,王良三,
Hya,Upsilon1,4.110000134,υ1 Hya,42,-14.8465,39 Hya,48356,υ1,147.86955,12,張宿一,
Ret,Zeta2,5.239999771,,70,-62.5079,,15371,ζ2,49.54635,9,,
